NUI,REGION,CIIU3,TOTHOM,TOTMUJ,REMEMP,REGEMP,REMCOM,REGCOM,REMOBR,REGOBR,TOHSC,TOMSC,EXPORTADOS
18784000000.0,8,1513,88,5,10153,1773,0,0,72243,12614,0,0,1
13452000000.0,13,1920,11,0,0,0,0,0,24271,0,0,0,0
12601000000.0,13,3311,21,3,36210,1350,2800,210,0,0,0,0,0
11935000000.0,13,2519,16,1,0,0,0,0,12596,0,0,0,0
12335000000.0,13,3610,39,10,117964,6752,14963,562,74800,3938,0,0,1
14664000000.0,13,2519,11,2,4953,403,1761,0,20830,1058,0,0,0
40175000000.0,3,3511,31,4,87440,1202,0,0,58515,21505,0,0,0
17273000000.0,13,2010,22,1,13480,528,0,0,19072,480,0,0,0
13987000000.0,7,2811,24,2,54468,0,0,0,0,0,0,0,0
13268000000.0,13,1541,27,5,6289,86,0,0,61467,1004,0,0,0
10101000000.0,2,2720,379,21,3193584,149500,0,0,341581,95786,0,0,1
10789000000.0,8,2811,82,4,27251,5432,0,0,71048,8536,0,0,0
11674000000.0,13,2520,39,1,6720,0,0,0,64103,943,0,0,0
18645000000.0,13,1541,15,15,21345,6600,0,0,13980,2709,0,0,0
21027000000.0,13,2219,56,15,445677,30661,0,0,0,0,0,0,0
17869000000.0,4,1512,15,0,15218,972,0,0,16154,1460,0,0,0
10594000000.0,7,1911,105,5,98000,506,46730,152,274146,4062,1,1,1
13077000000.0,13,1514,23,6,14313,3381,0,0,36805,8694,0,0,0
10970000000.0,8,2021,125,31,525442,17632,30000,2858,0,0,0,0,1
20528000000.0,13,1712,45,2,66177,6287,0,0,118419,9292,5,3,0
18713000000.0,13,2022,40,3,9995,0,17990,0,71962,0,0,0,0
13529000000.0,5,2720,42,1,61143,13421,0,0,176695,6191,0,0,1
11690000000.0,13,1920,79,55,66906,3588,0,0,177015,15784,0,0,0
20270000000.0,13,1810,34,34,166322,1326,0,0,224062,3427,0,0,0
23449000000.0,6,2924,177,0,1645479,137451,0,0,0,0,0,0,0
19971000000.0,4,1512,101,132,323984,2865,0,0,143404,2570,3,0,1
10220000000.0,5,3312,379,12,700294,0,0,0,769546,533036,35,4,1
17305000000.0,13,3420,85,4,268463,7922,22255,0,8003,0,6,0,1
10836000000.0,8,2695,16,3,10131,261,0,0,26547,97,0,0,0
10178000000.0,4,1512,29,41,39148,8618,0,0,47848,5518,0,0,1
17815000000.0,1,1512,15,83,17384,0,0,0,78491,0,0,0,1
12860000000.0,13,1541,676,123,1434182,288880,1635066,180285,616299,62155,0,0,1
18101000000.0,8,2010,14,3,1355,0,0,0,4763,0,0,0,0
17306000000.0,13,1541,4,12,0,0,1034,0,20310,0,0,0,0
11022000000.0,9,3610,566,198,1088429,15866,206229,5035,1384543,47309,8,0,1
20754000000.0,13,2221,31,5,31232,0,20820,599,89140,0,3,0,1
20623000000.0,13,1810,30,163,247118,9453,0,0,234253,16926,3,1,0
13259000000.0,13,2899,132,7,1063117,52457,0,0,0,0,0,0,1
11584000000.0,13,1541,89,10,37351,4669,0,0,174833,52561,0,0,0
23429000000.0,13,2520,50,0,10931,869,0,0,58519,4261,2,0,0
14671000000.0,8,2720,7,0,0,0,0,0,11815,2205,0,0,0
40088000000.0,8,3693,3,4,17279,347,0,0,0,0,0,0,0
11427000000.0,13,1721,4,18,11827,3480,0,0,25938,6192,4,11,1
19926000000.0,2,2519,66,3,130651,1667,0,0,111001,2581,0,0,0
12768000000.0,13,2912,169,13,399189,8013,0,0,821943,125433,0,0,0
11370000000.0,13,2211,23,0,20997,0,8508,0,40836,0,0,0,0
11096000000.0,10,1911,22,2,10395,120,0,0,24886,686,3,0,1
17711000000.0,13,2899,9,1,5307,0,0,0,7919,0,0,0,0
20983000000.0,13,2899,273,34,412067,95916,0,0,609820,41107,0,0,1
12117000000.0,13,1722,15,4,0,0,0,0,25129,465,0,0,1
13523000000.0,7,1541,11,1,0,0,0,0,15770,0,0,0,0
19834000000.0,13,2912,11,0,6511,1166,5625,0,9903,1612,2,0,0
16804000000.0,13,2520,128,103,293314,15880,0,0,307629,39858,10,16,1
13177000000.0,13,1920,21,26,22326,718,1207,55,73164,2407,2,1,0
17861000000.0,4,2811,23,3,7585,0,0,0,27985,0,0,0,0
17060000000.0,13,3120,23,2,20543,895,0,0,55924,6038,0,0,0
11649000000.0,13,1541,45,21,18948,0,0,0,76249,0,0,0,0
17726000000.0,13,1810,16,32,17432,4649,0,0,26306,16650,6,1,0
18116000000.0,8,2010,11,2,11557,398,0,0,21728,1362,3,0,0
14415000000.0,13,1541,9,1,1368,0,0,0,12168,0,0,0,0
18211000000.0,8,2691,257,2,5599,2240,0,0,511237,25931,0,0,1
12406000000.0,13,2520,92,4,38800,2765,0,0,220253,11062,0,0,0
23397000000.0,4,1541,12,1,8638,0,0,0,19718,0,0,0,0
20213000000.0,12,1512,24,1,38250,280,0,0,48661,924,0,0,1
10616000000.0,7,1541,10,0,17777,454,0,0,0,0,0,0,0
10684000000.0,8,2899,158,9,160382,15907,0,0,165702,59756,0,0,0
19972000000.0,4,2694,13,2,2092,48,0,0,11050,107,0,0,0
13401000000.0,13,1552,285,40,427773,17029,0,0,404550,37113,0,0,1
23437000000.0,13,2520,94,7,116021,6696,0,0,137961,11918,9,0,1
14060000000.0,8,2695,18,1,4145,999,0,0,14170,4021,0,0,0
17732000000.0,13,3610,16,2,10753,0,0,0,20112,0,0,0,0
17184000000.0,8,1541,7,4,12600,804,0,0,10010,0,1,0,0
21093000000.0,13,1711,186,21,115570,1994,36177,4268,127985,1579,0,0,0
11155000000.0,10,3610,9,2,2800,0,0,0,15156,993,0,0,0
11091000000.0,9,2010,15,0,1220,0,0,0,10344,0,0,0,0
12389000000.0,13,2899,21,4,16102,1230,0,0,33700,13291,0,0,0
10576000000.0,7,1511,38,28,20422,537,8550,472,131114,5182,0,0,0
10756000000.0,8,1511,48,1,48778,0,0,0,49024,0,0,0,0
11032000000.0,9,2695,59,1,4200,0,0,0,79633,0,0,0,0
12969000000.0,13,2101,28,3,29617,0,0,0,46453,0,1,1,1
10630000000.0,7,2520,15,3,13908,2988,0,0,21332,4482,1,0,0
10876000000.0,8,2899,11,1,6408,601,0,0,19831,1898,0,0,0
12402000000.0,13,3120,46,4,49558,0,0,0,117899,0,0,0,0
40172000000.0,1,2022,34,5,6823,1412,2896,599,71229,532,0,0,0
12432000000.0,13,2710,72,5,83912,11209,0,0,69927,11158,4,0,0
10103000000.0,2,1531,48,6,179492,4974,44424,744,48379,3820,0,0,0
18171000000.0,8,2221,12,0,0,0,0,0,20237,2727,0,0,0
11514000000.0,13,2424,422,462,813290,0,989075,0,1880512,0,0,0,1
13246000000.0,13,2429,26,6,5650,95,7533,127,24481,414,0,0,0
18086000000.0,8,2010,18,0,2920,23,0,0,17237,704,0,0,0
16518000000.0,4,2811,31,4,10536,0,0,0,34151,0,0,0,0
12550000000.0,13,1920,8,3,15392,0,0,0,0,0,0,0,0
20674000000.0,13,2924,15,2,4089,0,0,0,10847,0,0,0,0
17956000000.0,5,1810,10,33,11148,0,0,0,43554,0,1,0,0
10082000000.0,2,3610,13,1,0,0,0,0,12601,935,0,0,0
17709000000.0,13,1810,12,24,12235,0,0,0,50972,0,4,0,0
11983000000.0,13,1729,36,21,8017,0,0,0,62226,0,0,0,0
18590000000.0,13,1541,12,0,0,0,0,0,14143,0,0,0,0
18722000000.0,13,1541,15,6,0,0,0,0,24740,544,0,0,0
11453000000.0,13,2211,21,2,5296,225,11518,473,33151,1355,0,0,0
