State,Teleworked_Some,Teleworked_All,Year
All States,11.9,10.9,2024
Alabama,4.4,6.3,2024
Alaska,9.5,7.2,2024
Arizona,12.6,14.9,2024
Arkansas,6,5.6,2024
California,14.1,11.4,2024
Colorado,16.6,15.7,2024
Connecticut,16.2,9,2024
Delaware,11.6,10.7,2024
District of Columbia,36,20.8,2024
Florida,7.7,11.3,2024
Georgia,10.6,11.6,2024
Hawaii,8.9,6.8,2024
Idaho,9.1,10.6,2024
Illinois,14.5,11.8,2024
Indiana,10.3,7.9,2024
Iowa,8.9,6.8,2024
Kansas,11.3,9,2024
Kentucky,8.1,7.5,2024
Louisiana,6.5,6.3,2024
Maine,11.9,11.6,2024
Maryland,16.3,14.1,2024
Massachusetts,18.9,12.6,2024
Michigan,11.9,9.3,2024
Minnesota,14.5,11.4,2024
Mississippi,2.9,4.4,2024
Missouri,11.7,10,2024
Montana,10.6,10,2024
Nebraska,9.6,8.7,2024
Nevada,6.5,9.7,2024
New Hampshire,12.8,13.2,2024
New Jersey,15.9,11.2,2024
New Mexico,8.5,8.9,2024
New York,12.8,8.4,2024
North Carolina,10.7,11.3,2024
North Dakota,7.9,6.5,2024
Ohio,11.4,9.9,2024
Oklahoma,7.6,7.1,2024
Oregon,14.1,15.3,2024
Pennsylvania,12.3,11.5,2024
Rhode Island,14.1,9.2,2024
South Carolina,8.7,9.6,2024
South Dakota,7.7,6.8,2024
Tennessee,9,10.5,2024
Texas,10.8,11.7,2024
Utah,13.2,13.6,2024
Vermont,14,12.3,2024
Virginia,15.1,13.5,2024
Washington,16.3,14.5,2024
West Virginia,5.9,6.5,2024
Wisconsin,11.8,10.1,2024
Wyoming,6.4,7.1,2024
